start_station_name,start_station_latitude,start_station_longitude,usertype,num_trips
2 Ave & E 105 St,40.7898175,-73.94296109,Subscriber,1
W 88 St & West End Ave,40.79025417330419,-73.97718340158461,Subscriber,1
3969.TEMP (Bike The Branches - Central Branch),40.722852,-73.959114,Subscriber,3
NYCBS Depot - FAR,40.751483,-73.996764,Subscriber,3
Degraw St & Hoyt St,40.681990442707026,-73.99079024791718,Subscriber,4
8D OPS 01,40.68486874759393,-74.02544975280762,Subscriber,5
Bike The Branches - Red Hook Branch,40.67534953067412,-74.01002034544945,Subscriber,5
Kiosk in a box Deployment,40.70861098096821,-73.92850399017334,Subscriber,7
SSP Tech Workshop,40.646678,-74.016263,Subscriber,8
E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,Subscriber,8
E 37 St & Lexington Ave,40.44535,-73.978238,Subscriber,8
NYCBS Depot - PIT,40.71690978045965,-73.98383796215057,Subscriber,17
Bike The Branches - Central Branch,40.67280641227746,-73.96886587142944,Subscriber,21
Bike in Movie Night | Prospect Park Bandshell,40.662987,-73.976918,Subscriber,24
Grand St & Elizabeth St,40.718822,-73.99596,Subscriber,25
Madison Ave & E 82 St,40.7781314,-73.96069399,Subscriber,25
Greenwich St & Hubert St,40.721319,-74.010065,Subscriber,28
3 Ave & E 72 St,40.7699426,-73.96060712,Subscriber,31
E 67 St & Park Ave,40.76735637,-73.96493528,Subscriber,31
Adventures NYC,40.77376867022874,-73.97116988897324,Subscriber,37
